#geneID	KO/WT_0h	KO/WT_2h	KO/WT_6h	KO/WT_12h	KO/WT_18h	KO/WT_24h
ENSMUSG00000000197	0.217177	-0.054264	0.171370	0.169007	0.257968	-0.781450
ENSMUSG00000000214	0.364799	0.052580	0.218181	0.161682	0.092049	0.496579
ENSMUSG00000000215	-0.130063	0.178323	-0.099185	-0.002267	0.840473	0.618104
ENSMUSG00000000216	-0.121808	-0.136728	-0.752081	-1.563696	-0.714105	-1.004518
ENSMUSG00000000223	-0.426215	-0.806703	0.491037	0.187492	0.180802	-0.264522
ENSMUSG00000000253	-0.002037	0.471730	-0.202877	0.076932	-0.353789	0.063751
ENSMUSG00000000263	-0.378496	-0.175536	-0.123894	0.304800	0.139245	-0.226711
ENSMUSG00000000275	-0.051406	-0.020578	-0.016757	-0.316242	0.272590	0.080490
ENSMUSG00000000276	0.053662	0.864239	-0.172768	0.230933	-0.537301	0.656164
ENSMUSG00000000290	-0.325323	-0.363206	-0.074346	-0.338792	-0.436077	0.260052
ENSMUSG00000000295	0.228739	0.002191	-0.130971	0.223373	-0.221915	-0.259497
ENSMUSG00000000296	0.321571	-0.319865	-0.304954	0.181888	-0.108583	-0.347735
ENSMUSG00000000301	-0.056784	-0.092268	-0.255310	0.091279	0.234904	0.358523
ENSMUSG00000000303	-0.672922	-0.414084	-0.649975	-1.625865	-1.202550	-0.889698
ENSMUSG00000000305	-0.623177	0.131538	0.452823	-0.452730	0.513185	1.250060
ENSMUSG00000000308	-0.097946	-0.108444	-0.157564	-1.017752	-0.430091	0.305039
ENSMUSG00000000320	-0.097986	0.221915	-0.004903	-0.023543	0.189334	-0.385061
ENSMUSG00000000326	0.143902	0.101521	-0.421114	-0.574023	-0.181657	0.952838
ENSMUSG00000000340	0.554950	0.404158	-0.114858	0.087148	-0.059458	0.379822
ENSMUSG00000000374	0.182925	-0.671288	0.283924	0.315677	-0.188661	-0.262375
ENSMUSG00000000378	0.195951	-0.203829	0.100164	0.011743	-0.187983	-0.406065
ENSMUSG00000000381	0.780184	-0.272591	0.086522	-0.055022	-0.002958	-0.544104
ENSMUSG00000000394	-0.309523	-0.457684	0.409782	-0.287192	-0.302562	0.312419
ENSMUSG00000000399	0.121873	0.449307	0.199968	0.011190	-0.309251	0.535055
ENSMUSG00000000409	-0.062539	-0.311839	-0.073778	-0.069753	0.510817	0.849799
ENSMUSG00000000420	-0.086229	0.339999	-0.278269	-0.087494	-0.256661	0.035600
ENSMUSG00000000435	0.210175	0.065753	-0.132786	-0.019367	-0.256320	0.178540
ENSMUSG00000000440	-0.137711	0.081767	0.333174	-0.215402	0.517165	-0.805401
ENSMUSG00000000441	-0.221871	0.332498	-0.114950	-0.350743	-0.182676	0.540153
ENSMUSG00000000489	0.619269	-0.484106	-0.237539	-0.242797	0.493174	-0.079508
ENSMUSG00000000530	0.134808	0.059178	-0.000102	-0.124342	0.349769	0.017268
ENSMUSG00000000532	-0.379148	-0.045488	-0.462932	0.033161	-0.157747	-0.331452
ENSMUSG00000000552	-0.707692	0.769627	-0.041563	0.605000	-0.299489	0.138133
ENSMUSG00000000555	0.643118	0.272840	-0.224562	-0.721938	-0.502002	0.157508
ENSMUSG00000000560	0.258672	0.239597	0.027255	0.098972	0.231172	-0.078400
ENSMUSG00000000561	0.140923	0.184905	-0.317061	0.305205	0.608814	0.852907
ENSMUSG00000000562	0.197254	-0.021164	-0.438637	0.294458	0.294256	-0.284593
ENSMUSG00000000563	0.267822	-0.153775	-0.411269	0.004029	-0.113181	-0.206085
ENSMUSG00000000567	-0.189728	-0.156497	-0.481763	0.756819	0.520411	-0.383079
ENSMUSG00000000568	-0.031545	-0.406160	-0.701494	-0.287673	-0.646270	-1.287149
ENSMUSG00000000579	-0.126283	-0.622225	0.134590	0.059612	0.067444	-0.072827
ENSMUSG00000000581	0.015714	0.099578	0.671513	0.064691	-0.100480	0.181167
ENSMUSG00000000594	0.303638	0.411469	0.407017	-0.081364	0.336217	-0.240774
ENSMUSG00000000600	-0.471533	-0.236065	0.200053	-0.554467	0.579220	-0.034496
ENSMUSG00000000605	0.197330	-0.132695	-0.461249	-0.104369	0.183873	-0.356999
ENSMUSG00000000617	0.088534	-0.335694	-0.585123	-0.352967	0.152268	-0.488835
ENSMUSG00000000627	0.221832	0.000335	-0.267973	-0.011554	0.635748	0.278062
ENSMUSG00000000628	0.278373	-0.104296	-0.534427	0.348304	0.463130	0.191013
ENSMUSG00000000673	0.200611	0.206549	0.056956	-0.103694	0.354845	0.081506
ENSMUSG00000000682	-0.697355	0.035825	-0.107204	-0.512616	0.597529	0.837536
ENSMUSG00000000693	-0.408353	0.255063	-0.082248	0.070980	-0.197183	0.036474
ENSMUSG00000000706	0.475109	0.098283	-0.113045	-0.120330	-0.307665	-0.098140
ENSMUSG00000000708	-0.450411	0.405138	-0.721218	0.043921	-0.302427	-0.250573
ENSMUSG00000000711	-0.214174	-0.234818	0.376493	0.373308	-0.444332	-0.428090
ENSMUSG00000000732	0.538092	0.552546	0.238166	-0.743457	0.368281	-0.379871
ENSMUSG00000000738	0.156505	-0.393475	0.050118	-0.221023	0.076069	-0.371861
ENSMUSG00000000740	0.016038	-0.385567	0.034079	-0.134273	0.784792	0.226084
ENSMUSG00000000743	-0.750000	0.065360	0.487792	-0.176367	-0.219734	-0.106445
ENSMUSG00000000751	0.539024	0.358825	0.465862	-0.391487	-0.116174	-0.346423
ENSMUSG00000000753	-0.058497	0.161490	-0.404183	0.202848	0.725677	-0.382007
ENSMUSG00000000759	-0.138042	0.080889	0.084961	-0.563456	0.373742	0.073002
ENSMUSG00000000766	-0.033676	-0.079764	0.783189	-0.435172	-0.024301	-0.139460
ENSMUSG00000000776	0.298513	0.141225	0.318143	0.059400	0.945369	0.059264
ENSMUSG00000000782	0.056234	-0.121466	0.187405	-0.148341	0.146813	0.502867
ENSMUSG00000000787	0.166133	-0.067884	0.335605	0.015160	0.471238	0.073575
ENSMUSG00000000791	0.142652	-0.174267	0.244727	0.208727	0.178785	-0.046898
ENSMUSG00000000794	0.324645	-0.069320	-0.287172	0.048503	0.813865	-0.339352
ENSMUSG00000000805	-0.146660	-0.168295	0.162680	-0.007209	-0.178355	-0.099294
ENSMUSG00000000811	0.676112	-0.506475	0.102208	-0.287341	0.026399	0.586305
ENSMUSG00000000817	-0.093173	0.353109	0.178593	0.053418	0.139807	0.018152
ENSMUSG00000000826	0.327465	0.162242	-0.546179	-0.180418	0.229594	0.285782
ENSMUSG00000000861	-0.095923	-0.111551	-0.316020	0.114198	0.114670	-0.038111
ENSMUSG00000000869	-0.305402	0.197532	-0.042063	-0.304893	0.083141	0.279541
ENSMUSG00000000876	-0.843175	0.155976	0.081218	-0.269923	-0.499034	-0.191015
ENSMUSG00000000881	0.107659	-0.364934	-0.481054	0.355186	-0.240279	0.109917
ENSMUSG00000000889	-0.788282	0.237382	0.243694	0.304444	-0.261586	-0.305514
ENSMUSG00000000901	0.006106	0.020364	-0.153123	-0.461300	0.294406	0.014397
ENSMUSG00000000902	0.057570	-0.489452	-0.195827	-0.057171	-0.107177	-0.380424
ENSMUSG00000000915	-0.257906	-0.532184	0.065585	0.589396	-0.189177	0.988716
ENSMUSG00000000957	0.526677	0.499787	0.260818	0.067923	-0.455842	-0.075437
ENSMUSG00000000958	-0.129073	0.098525	-0.004682	0.285692	0.025130	-0.765507
ENSMUSG00000000959	-0.077641	-0.053057	0.078400	-0.288458	-0.230266	0.363394
ENSMUSG00000000982	0.004710	0.786584	0.187266	0.310186	-0.104638	0.410839
ENSMUSG00000001014	-0.439469	-0.220391	-0.353033	-0.070513	-0.235934	-0.266242
ENSMUSG00000001016	0.110024	-0.606742	-0.088552	0.325668	-0.141173	-0.148101
ENSMUSG00000001017	-0.112074	-0.324227	-0.161321	-0.103895	-0.160770	-0.285007
ENSMUSG00000001018	-0.357158	0.061951	-0.533387	0.078597	-0.211439	0.462539
ENSMUSG00000001029	0.274801	0.109245	-0.003456	-0.114787	-0.057652	-0.054923
ENSMUSG00000001034	-0.721487	0.130461	0.427310	0.027181	0.642766	0.285163
ENSMUSG00000001036	-0.224479	-0.530557	-0.019359	-0.034699	0.471242	0.124719
ENSMUSG00000001039	0.711236	-0.001407	-0.175364	-0.536112	0.085260	0.577892
ENSMUSG00000001052	-0.039003	0.160571	-0.303939	0.076219	0.179978	0.319044
ENSMUSG00000001054	0.298787	-0.225214	-0.519934	0.178773	-0.182003	-0.027845
ENSMUSG00000001056	0.320752	-0.202448	0.084981	-0.336793	0.121576	-0.325785
ENSMUSG00000001095	0.043117	0.227263	0.432535	-0.171144	0.330198	0.106814
ENSMUSG00000001105	0.014748	0.146473	0.046402	0.110559	-0.139677	-0.164739
ENSMUSG00000001119	-0.369838	-0.309021	-0.117181	-0.402618	-0.153911	0.700456
ENSMUSG00000001127	-0.233802	0.309079	-0.285040	-0.310812	0.838398	-0.235211
ENSMUSG00000001128	0.738014	-0.348644	-0.354842	-0.197873	-0.069316	-0.233739
ENSMUSG00000001131	-0.010430	0.104241	0.016055	0.026332	-0.108590	-0.158984
ENSMUSG00000001143	0.120775	-0.514744	0.345803	-0.064445	0.338874	-0.182456
ENSMUSG00000001151	-0.086717	0.137590	0.461595	-0.418261	-0.170777	0.346234
ENSMUSG00000001155	-0.038502	0.075396	0.322750	0.092345	0.107196	0.413094
ENSMUSG00000001158	0.089495	0.217159	-0.266608	-0.504821	-0.264517	0.641653
ENSMUSG00000001173	-0.009366	0.321217	-0.024667	-0.102688	0.124200	-0.054504
ENSMUSG00000001175	-0.545234	0.136598	0.608748	0.187144	0.385427	-0.051416
ENSMUSG00000001211	0.106347	0.097532	0.484985	0.346485	-0.673324	0.403861
ENSMUSG00000001225	-0.130604	0.051103	-0.526109	0.260056	0.047417	-0.087107
ENSMUSG00000001240	0.172040	0.367938	0.491155	0.510577	0.281475	-0.122939
ENSMUSG00000001249	-0.409750	0.177793	-0.096647	0.426008	0.088652	0.279917
ENSMUSG00000001260	-0.445286	0.170554	-0.265212	-0.061324	0.020093	0.174821
ENSMUSG00000001270	0.033367	-0.156208	-0.028413	-0.263201	-0.123070	0.557874
ENSMUSG00000001280	-0.309829	-0.485651	-0.689715	-0.066435	0.363382	0.349029
ENSMUSG00000001281	0.421459	0.387116	-0.331644	0.406554	-0.148251	-0.492716
ENSMUSG00000001288	0.117473	0.650336	0.026196	0.422132	-0.116415	-0.227225
ENSMUSG00000001300	-0.198954	-0.207933	0.302310	0.561395	-0.294782	-0.102217
ENSMUSG00000001313	-0.068073	-0.040508	0.240710	0.255759	0.413496	-0.063478
ENSMUSG00000001323	0.528265	0.275281	0.118625	-0.592595	-0.489233	-0.228334
ENSMUSG00000001348	0.129370	0.553520	0.238821	-0.540901	-0.283276	0.372574
ENSMUSG00000001366	-0.518535	-0.545204	0.516258	0.416345	-0.325324	-0.054539
ENSMUSG00000001380	-0.053658	0.015369	0.095158	0.500093	-0.217279	-0.346449
ENSMUSG00000001383	0.383692	-0.115863	-0.265566	0.625037	-0.027410	0.475806
ENSMUSG00000001403	-0.187524	-0.622318	0.075949	-0.336115	0.091116	0.035534
ENSMUSG00000001415	-0.131742	-0.884225	-0.208627	0.314728	-0.077648	-0.506677
ENSMUSG00000001416	-0.033145	0.521252	-0.111105	0.309202	-0.550816	-0.139631
ENSMUSG00000001419	0.042923	0.060038	-0.054207	-0.056170	0.240462	0.069800
ENSMUSG00000001435	-0.073765	-0.106911	0.865324	0.357829	-0.653514	0.345214
ENSMUSG00000001436	0.078113	0.365881	-0.137137	0.170000	-0.489293	0.905959
ENSMUSG00000001440	-0.005812	-0.343717	-0.230586	0.147793	-0.559894	-0.111687
ENSMUSG00000001441	-0.151212	-0.359591	0.762342	0.205668	-0.292714	0.188524
ENSMUSG00000001444	0.190875	0.003730	0.285576	-0.308532	-0.021832	-0.197010
ENSMUSG00000001445	-0.323068	0.587213	0.113182	-0.237964	0.628286	0.087306
ENSMUSG00000001467	0.300757	0.537786	-0.086032	-0.194300	0.706558	0.379741
ENSMUSG00000001472	-0.397955	-0.281103	-0.192523	0.052653	-0.214052	-0.159603
ENSMUSG00000001473	0.195599	-0.533861	0.800601	0.138521	0.147738	0.034308
ENSMUSG00000001494	-0.053092	0.192955	0.028538	0.326997	-0.032434	-0.355009
ENSMUSG00000001506	-0.050670	0.404371	-0.235772	0.188663	0.358939	-0.258923
ENSMUSG00000001507	0.596550	-0.085561	-0.246740	-0.117054	-0.149247	-0.356154
ENSMUSG00000001508	-0.063647	-0.350213	-0.071536	0.001796	-0.005828	-0.092251
ENSMUSG00000001517	-0.194924	-0.419183	0.046942	-0.285709	-0.093166	-0.219485
ENSMUSG00000001518	-0.313842	-0.058382	0.926774	-0.126233	0.115302	0.437300
ENSMUSG00000001521	-0.440661	0.808250	0.413615	-0.212301	-0.098908	-0.519995
ENSMUSG00000001524	-0.471483	0.620975	0.253090	-0.185212	-0.000774	-0.047299
ENSMUSG00000001525	0.182851	-0.412834	0.317696	-0.098159	-0.217618	-0.219577
ENSMUSG00000001542	0.097006	-0.464233	0.015707	-0.001239	0.066232	0.080843
ENSMUSG00000001552	0.566771	0.572842	0.379809	-0.127090	0.610554	-0.212520
ENSMUSG00000001566	0.103820	-0.571152	0.168602	0.408163	-0.760040	0.394026
ENSMUSG00000001622	0.098348	0.189570	-0.110994	-0.172164	0.319234	0.264274
ENSMUSG00000001632	0.137874	-0.456719	0.008216	-0.274986	-0.080706	0.361454
ENSMUSG00000001642	0.555912	-0.032003	0.410315	-0.144081	-1.001379	-0.357393
ENSMUSG00000001657	0.225129	0.568489	0.174216	-0.652688	0.000067	-0.203369
ENSMUSG00000001663	-0.420679	-0.673383	-0.305370	-0.128257	0.427060	-0.140185
ENSMUSG00000001665	-0.410464	0.254606	0.084051	-0.237550	0.427459	0.042283
ENSMUSG00000001670	0.493070	-0.190372	-0.334805	-0.360632	-0.567016	0.010726
ENSMUSG00000001672	0.003736	0.738043	-0.129088	0.832883	0.126214	-0.062821
ENSMUSG00000001707	-0.547453	0.184827	-0.396688	0.129846	0.191136	-0.512398
ENSMUSG00000001729	0.427567	0.395273	1.387017	0.529053	0.349337	0.277379
ENSMUSG00000001739	-0.012204	0.723182	0.070570	-0.474888	0.072920	0.046682
ENSMUSG00000001741	0.265197	0.018307	0.026831	-0.345009	0.078112	-0.484378
ENSMUSG00000001750	-0.553362	0.462120	0.380293	0.093622	0.087663	-0.159809
ENSMUSG00000001751	-0.076699	-0.302566	0.391963	0.060318	-0.101066	-0.013861
ENSMUSG00000001755	-0.296039	-0.130143	0.227639	0.006428	0.334950	0.279981
ENSMUSG00000001761	0.773864	0.214950	0.474536	-0.697674	-0.300906	0.697744
ENSMUSG00000001767	0.592527	-0.058594	-0.081896	0.515341	-0.293765	-0.201437
ENSMUSG00000001768	-0.042449	0.115403	0.132413	0.133051	-0.497984	0.060074
ENSMUSG00000001773	0.009557	-0.107840	0.046648	-0.093343	-0.543804	-0.195576
ENSMUSG00000001786	-0.581027	-0.628325	-0.260500	0.384881	0.389042	0.222875
ENSMUSG00000001794	0.090967	-0.216534	-0.037408	0.542131	-0.006613	0.271067
ENSMUSG00000001804	1.162568	-0.498626	0.421548	0.621956	-0.092867	-0.031943
ENSMUSG00000001827	-0.430733	-0.256575	0.576084	0.124201	0.055768	-0.122894
ENSMUSG00000001833	-0.230328	-0.310408	0.027457	0.386794	0.170006	0.265630
ENSMUSG00000001847	-0.223391	-0.329633	-0.411505	-0.150844	0.137772	-0.289964
ENSMUSG00000001855	0.055075	-0.131878	-0.293162	0.143087	-0.632318	0.198532
ENSMUSG00000001865	-1.030634	-0.080457	0.113467	-0.134623	-0.030621	0.068515
ENSMUSG00000001870	-0.007023	-0.068561	0.172993	-0.150710	-0.107353	0.064552
ENSMUSG00000001891	-0.130549	0.322281	0.565984	0.192711	-0.079220	-0.319775
ENSMUSG00000001901	0.071671	-0.120856	0.309070	0.109097	0.479891	-0.340248
ENSMUSG00000001918	-0.211112	-0.397618	0.119589	-0.340433	0.618617	0.120784
ENSMUSG00000001924	-0.098391	-0.127302	-0.787393	-0.759908	-1.029313	-0.723848
ENSMUSG00000001930	-0.380051	-0.339387	0.385067	0.033098	-0.668720	-0.236267
ENSMUSG00000001946	-0.143303	0.003574	0.660248	0.222462	0.175188	-0.669556
ENSMUSG00000001962	-0.038867	0.504280	0.540206	0.370698	-0.437380	0.754500
ENSMUSG00000001964	-0.089303	0.016233	0.412629	-0.265309	-0.022130	0.093259
ENSMUSG00000001985	-0.146097	0.143033	-0.188275	-0.058933	0.359600	0.701547
ENSMUSG00000001986	-0.166154	-0.201155	0.354873	-0.337909	0.378728	-0.134742
ENSMUSG00000001995	0.401771	-0.341399	0.249553	0.071090	-0.042115	0.209480
ENSMUSG00000001998	0.018580	0.249865	0.281675	-0.270081	0.136149	-0.133587
ENSMUSG00000001999	-0.052908	-0.022863	0.033704	-0.015782	-0.484801	0.401536
ENSMUSG00000002010	0.069478	-0.000052	0.187674	-0.373622	0.589076	0.144097
ENSMUSG00000002015	0.367132	0.311184	0.092720	-0.515467	-0.059022	0.055513
ENSMUSG00000002020	-0.713439	0.302028	-0.131524	0.229167	0.270942	0.318571
ENSMUSG00000002028	-0.133342	-0.028356	-0.429382	0.281054	0.363567	-0.078750
ENSMUSG00000002031	-0.363578	0.154534	0.054803	0.346482	-0.215324	-0.278550
ENSMUSG00000002033	-0.580008	-0.325423	0.727935	-0.009296	-0.050819	0.052908
ENSMUSG00000002043	-0.303374	-0.256168	0.008180	0.100060	-0.272143	0.563826
ENSMUSG00000002052	0.162025	-0.037160	0.079505	-0.076911	-0.018557	-0.079437
ENSMUSG00000002059	-0.622056	0.336655	-0.622913	0.495152	-0.109216	-0.463831
ENSMUSG00000002068	0.168774	0.271110	-0.396446	0.247779	0.285829	-0.007117
ENSMUSG00000002083	-0.814593	-0.018239	-0.277967	0.406699	0.049958	-0.491197
ENSMUSG00000002100	0.004979	-0.230933	0.210593	-0.057843	-0.253654	-0.147187
ENSMUSG00000002102	-0.192789	-0.217085	-0.481238	0.221988	-0.067494	0.560635
ENSMUSG00000002103	-0.106557	0.152882	-0.159689	-0.137482	-0.319806	0.149074
ENSMUSG00000002108	0.489360	0.253885	-0.255626	-0.550612	-0.427130	-0.123840
ENSMUSG00000002109	0.115990	0.208598	0.058208	0.423269	0.138140	-0.298500
ENSMUSG00000002111	0.420899	-0.386036	-0.066179	-0.309251	0.660439	0.608410
ENSMUSG00000002129	0.219270	-0.284114	0.489534	-0.567961	-0.226701	0.345245
ENSMUSG00000002147	-0.265202	0.469807	0.860690	-0.529910	-0.011673	-0.298481
ENSMUSG00000002204	0.801762	-0.748242	-0.486239	0.700926	-0.902496	-0.065590
ENSMUSG00000002205	0.640644	-0.016685	-0.082214	-0.184981	0.470660	0.014546
ENSMUSG00000002210	-0.231325	-0.786257	-0.537625	-0.058055	-0.142487	-0.189418
ENSMUSG00000002221	-0.610335	-0.779734	0.409364	0.343821	-0.255891	-0.223620
ENSMUSG00000002222	0.013671	-0.048946	0.503479	-0.403822	-0.166220	0.020251
ENSMUSG00000002233	-0.443325	0.135993	-0.009860	0.403995	0.127482	-0.781706
ENSMUSG00000002249	-0.607299	-0.247738	0.608484	0.324299	0.186541	-0.101312
ENSMUSG00000002250	0.318724	-0.602081	0.305422	-0.291692	-0.185873	-0.150364
ENSMUSG00000002257	-0.092748	-0.344394	0.186286	0.024925	-0.555856	0.470425
ENSMUSG00000002279	-0.715490	-0.309312	0.134745	-0.063941	-0.268585	-0.166254
ENSMUSG00000002289	-0.385580	-0.016472	-0.160903	0.020385	0.202782	-0.352113
ENSMUSG00000002297	-0.242713	-0.312853	0.183442	0.396399	0.368380	0.576781
ENSMUSG00000002307	0.095616	-0.169847	0.119701	0.055268	-0.678093	0.538070
ENSMUSG00000002308	-0.258038	-0.094993	0.021638	0.168295	0.404472	0.495678
ENSMUSG00000002324	0.450310	0.534913	0.084057	-0.170231	-0.038846	-0.015021
ENSMUSG00000002325	0.289582	-0.341065	0.013633	-0.406140	-0.296137	-0.753789
ENSMUSG00000002326	-0.664015	-0.260713	-0.087509	0.132230	0.250809	0.008110
ENSMUSG00000002341	0.159757	-0.256748	0.065035	0.404302	0.394430	-0.136695
ENSMUSG00000002346	-0.075978	0.118285	-0.224313	-0.111937	-0.230773	0.253619
ENSMUSG00000002365	0.013060	-0.253737	0.530314	-0.225966	-0.716342	0.085380
ENSMUSG00000002379	-0.218348	0.266765	0.417785	0.441377	-0.335319	0.239805
ENSMUSG00000002384	-0.502956	0.092775	-0.546972	0.554317	-0.300461	0.136978
ENSMUSG00000002393	-0.484740	0.348114	0.701736	-0.030634	-0.288128	0.036900
ENSMUSG00000002395	-0.303066	0.106992	0.009148	0.224988	0.395960	-0.112678
ENSMUSG00000002413	0.265462	0.219539	-0.321578	0.270429	0.951805	-0.119990
ENSMUSG00000002416	-0.444593	-0.195365	-0.186229	-0.369095	-0.303110	0.025431
ENSMUSG00000002428	-0.061987	-0.140622	-0.301733	0.672256	0.129842	0.907336
ENSMUSG00000002455	0.455839	-0.045490	0.150085	0.038974	0.095658	0.296316
ENSMUSG00000002459	0.473877	0.407872	-0.167874	0.192467	0.330895	0.093196
ENSMUSG00000002475	0.174126	0.004932	-0.647629	-0.500046	0.179974	0.546484
ENSMUSG00000002477	0.006179	0.018122	0.539032	-0.409834	0.199597	0.089035
ENSMUSG00000002489	0.079135	0.799656	-0.468304	0.429205	-0.315431	0.134589
ENSMUSG00000002496	0.046610	-0.481838	-0.056035	0.459394	-0.187471	-0.628338
ENSMUSG00000002500	-0.221234	-0.449299	-0.126725	-0.087176	0.521885	-0.187190
ENSMUSG00000002524	-0.076962	0.531866	-0.372374	-0.353299	-0.330780	0.314918
ENSMUSG00000002546	-0.125832	-0.198354	-0.177016	-0.008919	0.606818	0.473944
ENSMUSG00000002550	0.525018	0.522039	-0.378648	0.072726	-0.194221	0.306829
ENSMUSG00000002565	-0.323767	0.314810	-0.333090	0.558463	0.027275	0.263133
ENSMUSG00000002588	-0.812420	0.099773	0.554820	0.084004	0.356320	0.013454
ENSMUSG00000002602	0.033915	-0.378919	-0.241639	0.114656	-0.248876	0.039265
ENSMUSG00000002603	-0.106506	0.498176	-0.653859	-0.471594	0.417375	-0.082696
ENSMUSG00000002633	0.251945	0.154515	-0.520161	-0.058435	0.191707	-0.067394
ENSMUSG00000002658	0.688352	0.161534	0.202571	-0.560846	-0.516534	0.103249
ENSMUSG00000002660	-0.194117	0.120692	-0.476508	0.389715	0.285517	-0.845076
ENSMUSG00000002664	0.403278	-0.343700	-0.556708	-0.073572	0.323027	0.723941
ENSMUSG00000002668	-0.109558	-0.457311	-0.453949	0.199695	-0.553585	-0.504861
ENSMUSG00000002688	-0.218932	-0.104261	-0.243629	0.094025	0.557435	-0.379088
ENSMUSG00000002699	-0.217357	-0.079519	0.180886	0.050760	-0.491172	0.183066
ENSMUSG00000002718	0.086472	0.524566	0.380930	-0.449149	-0.450016	0.227419
ENSMUSG00000002731	0.726595	-0.053201	-0.279988	0.452741	0.231776	0.382046
ENSMUSG00000002733	-0.233198	0.294728	-0.478792	0.193410	0.223244	-0.324111
ENSMUSG00000002741	0.354717	0.466823	0.008961	-0.868032	-0.307374	0.241357
ENSMUSG00000002748	-0.714721	-0.186364	-0.020595	-0.069608	0.181878	0.661937
ENSMUSG00000002763	-0.612001	-0.364400	-0.204286	0.127139	1.164037	0.030292
ENSMUSG00000002767	0.328912	0.379671	-0.341597	0.022119	-0.137478	-0.032734
ENSMUSG00000002769	0.400577	-0.076325	0.363257	0.035005	0.013695	-0.302430
ENSMUSG00000002771	-0.018691	-0.597434	0.062716	0.916052	0.687936	0.121796
ENSMUSG00000002778	-0.201336	-0.016035	-0.024754	0.468977	-0.118851	0.657610
ENSMUSG00000002797	0.065568	0.338275	-0.318639	-0.013649	0.123063	-0.244775
ENSMUSG00000002799	0.172076	0.107658	-0.314775	-0.322566	1.017231	0.427341
ENSMUSG00000002803	-0.304500	0.039555	-0.010134	-0.076956	-0.473701	0.207647
ENSMUSG00000002804	0.576029	-0.139686	0.132219	-0.116331	-0.080445	0.037996
ENSMUSG00000002814	-0.047485	0.341420	-0.188248	0.281461	0.074282	-0.214408
ENSMUSG00000002820	0.197317	-0.390309	-0.234776	0.376477	0.216265	0.347611
ENSMUSG00000002831	0.691197	0.095951	-0.157632	0.280105	0.482347	-0.014697
ENSMUSG00000002846	-0.537954	0.306156	0.414530	0.187684	-0.689722	-0.090220
ENSMUSG00000002847	-0.345641	-0.207946	-0.605880	-0.077414	-0.256682	0.366097
ENSMUSG00000002870	-0.304729	-1.110891	-0.309994	-0.839206	-0.386211	0.284201
ENSMUSG00000002885	-0.009576	-0.323811	-0.112965	0.933086	-0.873009	1.225168
ENSMUSG00000002897	0.146351	-0.195506	0.473679	-0.884930	-0.086752	0.509915
ENSMUSG00000002900	0.017920	-0.144855	0.126824	-0.272479	-0.231970	-0.825120
ENSMUSG00000002908	0.469761	0.105342	-0.045480	0.166638	-0.231013	-0.945341
ENSMUSG00000002930	-0.321722	-0.025748	-0.343835	0.113897	-0.351876	-0.071492
ENSMUSG00000002944	0.853705	0.471933	0.216458	-0.004479	0.021108	0.374542
ENSMUSG00000002948	-0.252964	-0.533788	-0.419524	-1.328920	-0.985637	-0.197035
ENSMUSG00000002957	-0.161775	-0.259250	-0.930613	-0.288510	0.524281	0.164660
ENSMUSG00000002983	0.314260	-0.435911	0.300800	0.363691	0.081648	-0.355245
ENSMUSG00000002984	-0.232518	-0.132487	-0.244469	0.587603	-0.381191	0.025190
ENSMUSG00000002985	0.242899	0.236524	-0.251539	-0.032935	0.122605	-0.321798
